Feature,F-Statistic,p-value
avg_plus_minus,352.7287845603084,3.412073268605416e-110
avg_net_rating,350.4597344553204,8.485127464131204e-110
adjusted_net_rating,307.7177419435923,5.660726155272927e-102
avg_net_rating_vs_pos_srs,242.49160660934942,2.0242778339299445e-88
avg_net_rating_last10,114.30801130957286,5.588047971658507e-53
avg_net_rating_first10,88.60912932292709,1.2209085760622467e-43
avg_fg3_pct,54.294857227163945,2.6694176648844505e-29
avg_off_rating,48.800155399795365,9.246625397808157e-27
avg_fg_pct,44.68704188539592,8.274473184184789e-25
std_possessions,32.575347289796476,8.645488777666063e-19
avg_dreb,31.00376519810588,5.615175260664268e-18
avg_pts,29.779474941131756,2.4413925679424538e-17
avg_reb,26.43235913810852,1.4341234233410733e-15
avg_fgm,24.099642774332967,2.5736445688343052e-14
avg_def_rating,24.061743728125535,2.69815269080682e-14
clutch_games_count,22.10545056474498,3.13709956336174e-13
avg_tov,21.973047895890975,3.7075854905399805e-13
clutch_win_pct,20.64039146490846,2.007494456781461e-12
avg_possessions,20.123990753857,3.876841979048698e-12
std_ast,18.93287522549615,1.7827875314665582e-11
avg_minutes,18.83346356932211,2.025880420972023e-11
std_fga,17.952240487258393,6.311519781772289e-11
std_ftm,17.133559375236437,1.823522976740437e-10
std_fta,17.051599442065395,2.0284363730639684e-10
avg_pts_allowed,16.725606596271206,3.099821682735436e-10
avg_fga,15.393479411379696,1.7681883923989784e-09
std_minutes,15.015797966701241,2.9037647667277834e-09
avg_fg3m,13.033602296824057,3.990134740138132e-08
std_fg3m,12.697753413093741,6.237402724712273e-08
avg_ast,12.58494763499454,7.248467622000366e-08
avg_ftm,12.07258825009131,1.435646627605937e-07
std_net_rating,11.758886818323585,2.1834659915868997e-07
std_oreb,11.407014032639434,3.497329017472866e-07
avg_fta,10.384271658160204,1.3813941847612682e-06
avg_oreb,10.155725505939595,1.8793470564720031e-06
std_fgm,9.961030937881898,2.443417243182162e-06
avg_pf,9.21795279812275,6.666339820025201e-06
avg_blk,8.848861081498995,1.0986359724430983e-05
avg_ft_pct,8.383537789391239,2.064331034011137e-05
std_pts_allowed,7.772023459372715,4.735299035956138e-05
std_off_rating,7.603099243461971,5.957325062962293e-05
std_plus_minus,7.536516779964359,6.521698371119371e-05
avg_fg3a,7.38828960029739,7.97796303944902e-05
std_fg_pct,7.364953182279515,8.235217225816934e-05
std_pts,7.09971374201767,0.00011813346525079139
std_fg3a,6.715301423201683,0.00019933607312027762
std_reb,6.204692959474121,0.00039948819663018076
trend_net_rating,6.172711494420241,0.0004172685550724584
std_dreb,4.3828908174198125,0.004754036046934066
std_tov,4.183139748519302,0.006229948303911428
std_ft_pct,3.811131612204338,0.01029532591222264
vs_pos_srs_games_count,3.6304641236302735,0.01313063829554179
std_fg3_pct,3.497284836940175,0.015704040548194863
avg_stl,2.9860444795618095,0.03110960937089183
std_pf,2.8691341371642554,0.03633978774662997
std_stl,2.564848259825305,0.05434221271664884
std_blk,1.646300336789391,0.17821037078315716
std_def_rating,0.3504402643466119,0.7888536344605982
games_played,0.30006071862474737,0.8253560541213613
