Ranking,Player,2021/22,2021/22(*)
1.,Stephen Curry,45780966,52938707
2.,John Wall,44310840,51238730
2.,James Harden,44310840,51238730
4.,Russell Westbrook,44211146,51123449
5.,Kevin Durant,42018900,48588451
6.,LeBron James,41180544,47619020
7.,Paul George,39344970,45496459
8.,Kawhi Leonard,39344900,45496378
8.,Giannis Antetokounmpo,39344900,45496378
8.,Damian Lillard,39344900,45496378
11.,Klay Thompson,37980720,43918911
12.,Jimmy Butler,36016200,41647244
13.,Tobias Harris,35995950,41623828
14.,Khris Middleton,35500000,41050337
15.,Anthony Davis,35361360,40890021
16.,Rudy Gobert,35344828,40870904
17.,Kyrie Irving,35328700,40852255
18.,Kemba Walker,34967442,40434514
19.,Bradley Beal,33724200,38996895
20.,Ben Simmons,33003936,38164020
20.,Pascal Siakam,33003936,38164020
22.,Blake Griffin,32405817,37472385
23.,Karl-Anthony Towns,31650600,36599093
23.,Devin Booker,31650600,36599093
23.,Kristaps Porzingis,31650600,36599093
26.,Andrew Wiggins,31579390,36516749
26.,Joel Embiid,31579390,36516749
28.,Kevin Love,31258256,36145407
29.,Jrue Holiday,31171333,36044894
30.,Nikola Jokic,31044906,35898700
31.,CJ McCollum,30864198,35689739
32.,Chris Paul,30800000,35615504
33.,D'Angelo Russell,30013500,34706036
34.,Gordon Hayward,29925000,34603699
35.,Jamal Murray,29467800,34075017
35.,Brandon Ingram,29467800,34075017
37.,Jayson Tatum,28103500,32497412
37.,Bam Adebayo,28103500,32497412
37.,De'Aaron Fox,28103500,32497412
37.,Donovan Mitchell,28103500,32497412
41.,Al Horford,27000000,31221383
42.,Kyle Lowry,26984128,31203029
43.,Jaylen Brown,26758928,30942620
44.,DeMar DeRozan,26000000,30065035
45.,Draymond Green,24026712,27783229
46.,Nikola Vucevic,24000000,27752340
47.,Buddy Hield,23073234,26680677
48.,John Collins,23000000,26595993
49.,Malcolm Brogdon,21700000,25092741
50.,Tim Hardaway Jr,21306816,24638084
51.,Mike Conley,21000000,24283298
52.,Gary Harris,20932143,24204831
53.,Danilo Gallinari,20475000,23676215
54.,Harrison Barnes,20284091,23455458
55.,Jerami Grant,20002500,23129841
56.,Jarrett Allen,20000000,23126950
57.,Julius Randle,19800000,22895681
58.,Fred VanVleet,19675926,22752208
59.,Zach LaVine,19500000,22548776
60.,Goran Dragic,19348907,22374060
61.,Spencer Dinwiddie,19314284,22334024
62.,Bojan Bogdanovic,18700000,21623698
63.,Lonzo Ball,18604651,21513442
64.,Domantas Sabonis,18500000,21392429
65.,Eric Gordon,18218818,21067285
66.,Eric Bledsoe,18125000,20958799
67.,Bogdan Bogdanovic,18000000,20814255
67.,Myles Turner,18000000,20814255
69.,Terry Rozier,17905263,20704706
70.,Ricky Rubio,17800000,20582986
71.,Clint Capela,17603448,20355703
72.,Caris LeVert,17500000,20236081
73.,Jonathan Isaac,17400000,20120447
74.,Joe Harris,17357143,20070889
75.,Evan Fournier,17142857,19823100
76.,Steven Adams,17073171,19742519
77.,Markelle Fultz,16500000,19079734
78.,Aaron Gordon,16409091,18974611
79.,Gary Trent Jr,16225000,18761738
80.,OG Anunoby,16071429,18584157
81.,Davis Bertans,16000000,18501560
82.,Lauri Markkanen,15690909,18144143
83.,Derrick White,15678571,18129876
84.,Duncan Robinson,15650000,18096838
85.,Marcus Morris,15627907,18071291
86.,Will Barton,15625000,18067930
87.,Norman Powell,15517242,17943324
88.,Dejounte Murray,15428880,17841147
89.,Malik Beasley,14491964,16757746
90.,Patrick Beverley,14320987,16560038
91.,Thaddeus Young,14190000,16408571
92.,Jonas Valanciunas,14000000,16188865
93.,Marcus Smart,13839285,16003023
94.,Doug McDermott,13750000,15899778
95.,Christian Wood,13666667,15803416
96.,Derrick Rose,13445120,15547231
97.,Luke Kennard,13347727,15434611
98.,Taurean Prince,13334375,15419171
99.,Brook Lopez,13302325,15382110
100.,Kentavious Caldwell-Pope,13038862,15077455
