Ranking,Team,2009/10,2009/10(*)
1.,LA Lakers,91378064,133099830
2.,Dallas,88916075,129513735
3.,New York,85710076,124843928
4.,Boston,83552174,121700763
5.,Cleveland,83398534,121476973
6.,Orlando,82200916,119732542
7.,San Antonio,79338309,115562913
8.,Denver,74935538,109149909
9.,Miami,74208013,108090206
10.,Washington,73440274,106971929
11.,Utah,71905244,104736033
12.,New Orleans,70163827,102199509
13.,Chicago,69700359,101524429
14.,Houston,69095315,100643130
15.,Charlotte,68681758,100040750
16.,Toronto,67822433,98789072
17.,Sacramento,67515718,98342313
18.,Milwaukee,66775602,97264272
19.,Indiana,66733257,97202595
20.,Atlanta,65883642,95965060
21.,Golden State,65352372,95191218
22.,Phoenix,65288544,95098250
23.,Philadelphia,64883448,94508194
24.,Minnesota,62253360,90677248
25.,LA Clippers,61616409,89749472
26.,Detroit,60185833,87665722
27.,Brooklyn,59366715,86472605
28.,Oklahoma City,58578614,85324671
29.,Memphis,57287474,83444016
30.,Portland,56946258,82947009
