Ranking,Team,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30
1.,Phoenix,220708856,210624320,149317650,95122335,3107143,3107143
2.,Minnesota,204780898,187794930,124209625,118840116,86055603,0
3.,Boston,195605289,223928825,199299290,213553149,179367723,71446822
4.,New York,193342053,194354847,164494803,146981267,91692629,0
5.,LA Lakers,191906169,189239092,81878414,13285714,0,0
6.,Milwaukee,185971982,172713760,147503536,66821676,0,0
7.,Denver,185864258,203509384,193740462,163334957,99618645,0
8.,Dallas,178793316,193550487,115598237,87619026,0,0
9.,Golden State,178319107,164744105,169257038,23523485,0,0
10.,Miami,176102077,176542132,124763448,56090089,60244910,0
11.,New Orleans,175112977,171194031,122162368,105217102,31000000,0
12.,LA Clippers,174124752,174103546,85001485,20998320,0,0
13.,Washington,173873325,158276280,57687586,13050000,0,0
14.,Philadelphia,173747894,170735334,156732189,164471089,115459301,0
15.,Toronto,173404107,178613358,165666978,119252334,80440508,51033444
16.,Sacramento,172744405,160966092,151669415,71490451,0,0
17.,Cleveland,172355364,210534208,218422872,176568206,80420508,51033444
18.,Charlotte,171879295,152501780,95622287,43582280,46394040,0
19.,Brooklyn,171691804,53193234,45647727,20943184,0,0
20.,Atlanta,170056977,143094769,113255324,62880000,30000000,30000000
21.,Houston,170038023,140533038,94096391,73339450,39036697,39036697
22.,Indiana,169511216,165638703,156695679,153420792,55672848,0
23.,Portland,169031747,167024619,47599930,48556822,0,0
24.,Chicago,168147899,134846334,27428571,18000000,18000000,0
25.,Oklahoma City,167471133,172595541,80511092,28988975,22446480,0
26.,Memphis,165903638,136494593,108167327,87053440,44886930,0
27.,San Antonio,164872330,143318427,44500000,24652174,27000000,0
28.,Utah,156874018,153320035,55671154,52613896,53536209,0
29.,Orlando,151728562,175846790,135986832,108497732,89740508,77733444
30.,Detroit,140746162,128740963,59050907,44847572,47940508,51033444
