Feature,F-Statistic,p-value
avg_reb,70.60791913189996,2.0208330408468222e-36
std_reb,37.485906191737,2.7901781902136216e-21
avg_tov,36.80438602554002,6.125230611597081e-21
avg_pf,34.850862914818,5.936224415983951e-20
avg_stl,34.08489174377785,1.4566410032406795e-19
avg_oreb,32.06235767545046,1.5892679472848994e-18
avg_fta,30.990943121883436,5.701957826523464e-18
avg_fga,30.621784429147244,8.87172912535822e-18
avg_dreb,29.996826864776086,1.879246044493625e-17
std_stl,28.654587819618467,9.510439210166776e-17
std_oreb,26.630212792384807,1.1246925036525038e-15
avg_possessions,25.206481551522746,6.506922093663542e-15
std_dreb,24.650458643047774,1.2967948071138136e-14
std_fta,21.927226498357598,3.928410254517859e-13
std_fga,21.70570035684861,5.197391187300555e-13
avg_ast,15.88111499648422,9.333688923645172e-10
std_blk,13.838403656409085,1.3723281925552557e-08
avg_blk,13.765434243140797,1.5114819801959474e-08
std_possessions,11.663354042755175,2.4811765412216093e-07
std_tov,11.508177563552874,3.0540848814238635e-07
std_ast,10.286095244599897,1.5766318153116484e-06
std_pf,4.298433586231348,0.0053300451911197895
std_fg3a,3.849060310725166,0.009782139274458604
avg_fg3a,2.0227592085571087,0.11021486994062873
