trade_id,date,team,direction,asset_type,player_name,player_age,player_position,pick_year,pick_round,pick_condition,cash,cap_space,notes
1,2024-06-28,Sacramento Kings,Incoming,Player,Jalen McDaniels,26,SF,,,,,,
1,2024-06-28,Toronto Raptors,Incoming,Player,Davion Mitchell,25,PG,,,,,,
1,2024-06-28,Toronto Raptors,Incoming,Player,Sasha Vezenkov,28,SF,,,,,,
1,2024-06-28,Toronto Raptors,Incoming,Player,Jamal Shead,21,PG,,,,,,
1,2024-06-28,Toronto Raptors,Incoming,Pick,,,,2025,2,POR pick,,
2,2024-06-27,New York Knicks,Incoming,Player,Tyler Kolek,23,PG,,,,,,
2,2024-06-27,Portland Trail Blazers,Incoming,Player,Daniel Diez,31,SF,,,,,,
2,2024-06-27,Portland Trail Blazers,Incoming,Pick,,,,2027,2,,,
2,2024-06-27,Portland Trail Blazers,Incoming,Pick,,,,2029,2,,,
2,2024-06-27,Portland Trail Blazers,Incoming,Pick,,,,2030,2,,,
3,2024-06-27,Golden State Warriors,Incoming,Player,Lindy Waters III,26,SF,,,,,,
3,2024-06-27,Oklahoma City Thunder,Incoming,Player,Quinten Post,24,C,,,,,,
4,2024-06-27,Portland Trail Blazers,Incoming,Player,Quinten Post,24,C,,,,,,
4,2024-06-27,Oklahoma City Thunder,Incoming,Player,Oso Ighodaro,21,C,,,,,,
5,2024-06-27,Dallas Mavericks,Incoming,Player,Melvin Ajinca,20,SG,,,,,,
5,2024-06-27,New York Knicks,Incoming,Cash,,,,,,,,,Cash
5,2024-06-27,New York Knicks,Incoming,Player,Ariel Hukporti,22,C,,,,,,
5,2024-06-27,New York Knicks,Incoming,Player,Petteri Koponen,36,G,,,,,,
6,2024-06-27,New York Knicks,Incoming,Player,Dillon Jones,22,SF,,,,,,
6,2024-06-27,New York Knicks,Incoming,Player,Melvin Ajinca,20,SG,,,,,,
6,2024-06-27,Washington Wizards,Incoming,Player,Kyshawn George,20,SG,,,,,,
7,2024-06-27,New York Knicks,Incoming,Player,Kevin McCullar Jr.,23,SG,,,,,,
7,2024-06-27,New York Knicks,Incoming,Pick,,,,2028,2,"Top-45 protected, BOS pick",,
7,2024-06-27,Phoenix Suns,Incoming,Player,Oso Ighodaro,21,C,,,,,,
8,2024-06-27,New York Knicks,Incoming,Player,Oso Ighodaro,21,C,,,,,,
8,2024-06-27,Oklahoma City Thunder,Incoming,Player,Ajay Mitchell,22,PG,,,,,,
9,2024-06-27,Orlando Magic,Incoming,Pick,,,,2030,2,,,
9,2024-06-27,Orlando Magic,Incoming,Pick,,,,2031,2,,,
9,2024-06-27,New Orleans Pelicans,Incoming,Player,Antonio Reeves,23,SG,,,,,,
10,2024-06-27,Atlanta Hawks,Incoming,Player,Nikola Djurisic,20,SF,,,,,,
10,2024-06-27,Atlanta Hawks,Outgoing,Player,A.J. Griffin,,,,,,,
10,2024-06-27,Houston Rockets,Incoming,Player,A.J. Griffin,20,SF,,,,,,
10,2024-06-27,Houston Rockets,Outgoing,Player,Pelle Larsson,,,,,,,
10,2024-06-27,Miami Heat,Incoming,Cash,,,,,,,,,Cash
10,2024-06-27,Miami Heat,Incoming,Player,Pelle Larsson,23,SG,,,,,,
10,2024-06-27,Miami Heat,Outgoing,Player,Nikola Djurisic,,,,,,,
11,2024-06-27,New York Knicks,Incoming,Pick,,,,2025,2,most favorable of BOS/MEM,,
11,2024-06-27,New York Knicks,Incoming,Pick,,,,2026,2,GSW pick,,
11,2024-06-27,New York Knicks,Incoming,Pick,,,,2027,2,MIN pick,,
11,2024-06-27,New York Knicks,Incoming,Pick,,,,2027,2,2nd most favorable of OKC/HOU/MIA/IND,,
11,2024-06-27,New York Knicks,Incoming,Pick,,,,2027,2,most favorable OKC/HOU/MIA/IND,,
11,2024-06-27,Oklahoma City Thunder,Incoming,Player,Dillon Jones,22,SF,,,,,,
12,2024-06-26,Denver Nuggets,Incoming,Player,DaRon Holmes II,21,PF,,,,,,
12,2024-06-26,Phoenix Suns,Incoming,Player,Ryan Dunn,21,SF,,,,,,
12,2024-06-26,Phoenix Suns,Incoming,Pick,,,,2024,2,,,
12,2024-06-26,Phoenix Suns,Incoming,Pick,,,,2026,2,DEN pick,,
12,2024-06-26,Phoenix Suns,Incoming,Pick,,,,2031,2,DEN pick,,
13,2024-06-26,Minnesota Timberwolves,Incoming,Player,Rob Dillingham,19,PG,,,,,,
13,2024-06-26,San Antonio Spurs,Incoming,Pick,,,,2030,1,"Top-1 protected, SAS right to swap",,
13,2024-06-26,San Antonio Spurs,Incoming,Pick,,,,2031,1,,,
14,2024-06-26,Houston Rockets,Incoming,Pick,,,,2025,1,HOU right to swap HOU/OKC 2025 1st for 2025 PHX 1st,,
14,2024-06-26,Houston Rockets,Incoming,Pick,,,,2027,1,PHX pick,,
14,2024-06-26,Houston Rockets,Incoming,Pick,,,,2029,1,more favorable of DAL/PHX,,
14,2024-06-26,Houston Rockets,Incoming,Pick,,,,2029,1,HOU right to swap with DAL/PHX 2029 1st,,
14,2024-06-26,Brooklyn Nets,Incoming,Pick,,,,2025,1,"BKN pick, negates HOU right to swap",,
14,2024-06-26,Brooklyn Nets,Incoming,Pick,,,,2026,1,BKN pick,,
15,2024-06-21,Chicago Bulls,Incoming,Player,Josh Giddey,21,SG,,,,,,
15,2024-06-21,Oklahoma City Thunder,Incoming,Player,Alex Caruso,30,SG,,,,,,
16,2024-02-08,Memphis Grizzlies,Outgoing,Cap Space,,,,,,,,1650000,-$1.65M CAP SPACE
16,2024-02-08,Memphis Grizzlies,Incoming,Player,Yuta Watanabe,29,SF,,,,,"Salary: $2,346,614"
16,2024-02-08,Memphis Grizzlies,Incoming,Player,Chimezie Metu,26,C,,,,,"Salary: $2,019,706"
16,2024-02-08,Memphis Grizzlies,Outgoing,Player,David Roddy,22,PF,,,,,
16,2024-02-08,Memphis Grizzlies,Outgoing,Player,Vanja Marinkovic,27,SG,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Cap Space,,,,,,,,3580000,-$3.58M CAP SPACE
16,2024-02-08,Phoenix Suns,Incoming,Player,Royce O'Neale,30,SF,,,,,"Salary: $9,500,000"
16,2024-02-08,Phoenix Suns,Incoming,Player,David Roddy,22,PF,,,,,"Salary: $2,718,240"
16,2024-02-08,Phoenix Suns,Outgoing,Player,Yuta Watanabe,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Player,Chimezie Metu,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Player,Keita Bates-Diop,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Player,Jordan Goodwin,,,,,,,
16,2024-02-08,Phoenix Suns,Outgoing,Pick,,,,2026,2,,,
16,2024-02-08,Phoenix Suns,Outgoing,Pick,,,,2028,2,,,
16,2024-02-08,Phoenix Suns,Outgoing,Pick,,,,2029,2,,,
