escopo,eixo,grupo,n,mediana_delta_WPA_time,media_delta_WPA_time,pct_positivo,spearman_rho
2019,Preenche Lacuna vs Redundante,Preenche Lacuna,27,0.0789719865319865,0.06630946058752164,70.37037037037037,
2019,Preenche Lacuna vs Redundante,Redundante,11,-0.0422530079311645,-0.0004676387708529519,36.36363636363637,
2019,Magnitude da lacuna (|deltaP|) vs impacto,Preenche Lacuna,27,,,,0.26442749324293446
2019,Objetivo Sazonal,Contender,9,-0.0027731950362433,0.009038597853391134,44.44444444444444,
2019,Objetivo Sazonal,Intermediario,10,0.001027377840249,0.045352535154447475,50.0,
2019,Objetivo Sazonal,Tanking,19,0.0789719865319865,0.06580729879782667,73.68421052631578,
2020,Preenche Lacuna vs Redundante,Preenche Lacuna,16,-0.04332093960544215,0.0019045194993773489,50.0,
2020,Preenche Lacuna vs Redundante,Redundante,9,-0.012850478927203,-0.020717291839941164,44.44444444444444,
2020,Magnitude da lacuna (|deltaP|) vs impacto,Preenche Lacuna,16,,,,-0.0927836057787226
2020,Objetivo Sazonal,Contender,9,-0.1368548571428571,-0.1340645055432257,11.11111111111111,
2020,Objetivo Sazonal,Intermediario,3,-0.0880567091428571,-0.08099071457162926,33.33333333333333,
2020,Objetivo Sazonal,Tanking,13,0.1172460256410256,0.09950533684880664,76.92307692307693,
2021,Preenche Lacuna vs Redundante,Preenche Lacuna,17,0.0024021651964715,0.011419285666780117,52.94117647058824,
2021,Preenche Lacuna vs Redundante,Redundante,10,-0.06739802060384725,-0.07104213504903058,20.0,
2021,Magnitude da lacuna (|deltaP|) vs impacto,Preenche Lacuna,17,,,,0.42156862745098045
2021,Objetivo Sazonal,Contender,10,0.015517735427967,0.044562287352396826,60.0,
2021,Objetivo Sazonal,Intermediario,3,0.0024021651964715,0.0065256873134951305,66.66666666666666,
2021,Objetivo Sazonal,Tanking,14,-0.085191614655095,-0.07010667354424982,21.428571428571427,
