escopo,posicao,classificacao,n_jogadores
2019,Guards,Preenche Lacuna,28
2019,Guards,Redundante,7
2019,Forwards,Preenche Lacuna,18
2019,Forwards,Redundante,14
2019,Centers,Preenche Lacuna,2
2019,Centers,Redundante,6
2020,Guards,Preenche Lacuna,7
2020,Guards,Redundante,10
2020,Forwards,Preenche Lacuna,14
2020,Forwards,Redundante,10
2020,Centers,Preenche Lacuna,3
2020,Centers,Redundante,6
2021,Guards,Preenche Lacuna,16
2021,Guards,Redundante,6
2021,Forwards,Preenche Lacuna,10
2021,Forwards,Redundante,8
2021,Centers,Preenche Lacuna,1
2021,Centers,Redundante,7
