team_id,season_end_year,cluster_pre_trade,cluster_name_pre_trade,trade_date,cluster_post_trade,cluster_name_post_trade
1610612737,2013,1,Defensivo,2013-02-21,1,Defensivo
1610612738,2013,0,Ofensivo,2013-02-21,1,Defensivo
1610612739,2013,2,Reconstrução,2013-02-21,2,Reconstrução
1610612740,2013,1,Defensivo,2013-02-21,2,Reconstrução
1610612741,2013,1,Defensivo,2013-02-21,1,Defensivo
1610612742,2013,0,Ofensivo,2013-02-21,1,Defensivo
1610612743,2013,0,Ofensivo,2013-02-21,3,Elite
1610612744,2013,0,Ofensivo,2013-02-21,3,Elite
1610612745,2013,3,Elite,2013-02-21,3,Elite
1610612746,2013,3,Elite,2013-02-21,3,Elite
1610612747,2013,3,Elite,2013-02-21,0,Ofensivo
1610612748,2013,3,Elite,2013-02-21,3,Elite
1610612749,2013,0,Ofensivo,2013-02-21,0,Ofensivo
1610612750,2013,2,Reconstrução,2013-02-21,2,Reconstrução
1610612751,2013,1,Defensivo,2013-02-21,1,Defensivo
1610612752,2013,3,Elite,2013-02-21,3,Elite
1610612753,2013,2,Reconstrução,2013-02-21,2,Reconstrução
1610612754,2013,1,Defensivo,2013-02-21,3,Elite
1610612755,2013,1,Defensivo,2013-02-21,1,Defensivo
1610612756,2013,2,Reconstrução,2013-02-21,2,Reconstrução
1610612757,2013,0,Ofensivo,2013-02-21,2,Reconstrução
1610612758,2013,2,Reconstrução,2013-02-21,0,Ofensivo
1610612759,2013,3,Elite,2013-02-21,3,Elite
1610612760,2013,3,Elite,2013-02-21,3,Elite
1610612761,2013,0,Ofensivo,2013-02-21,0,Ofensivo
1610612762,2013,0,Ofensivo,2013-02-21,0,Ofensivo
1610612763,2013,1,Defensivo,2013-02-21,1,Defensivo
1610612764,2013,2,Reconstrução,2013-02-21,1,Defensivo
1610612765,2013,2,Reconstrução,2013-02-21,2,Reconstrução
1610612766,2013,2,Reconstrução,2013-02-21,2,Reconstrução
1610612737,2013,1,Defensivo,2013-01-30,1,Defensivo
1610612738,2013,0,Ofensivo,2013-01-30,1,Defensivo
1610612739,2013,2,Reconstrução,2013-01-30,2,Reconstrução
1610612740,2013,1,Defensivo,2013-01-30,2,Reconstrução
1610612741,2013,1,Defensivo,2013-01-30,1,Defensivo
