trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
19,1610612737,ATL,2019,2019-02-07,202714,Shelvin Mack,Guards,-0.012472440673981415,0.023834054632124888,-0.0363064953061063,Preenche Lacuna,-0.058611122255930986,-0.06366018143480248,Nao,1,Ofensivo,1,Ofensivo
28,1610612737,ATL,2019,2019-02-07,1628444,Jabari Bird,Guards,-0.012472440673981415,0.023834054632124888,-0.0363064953061063,Preenche Lacuna,-0.058611122255930986,-0.06366018143480248,Nao,1,Ofensivo,1,Ofensivo
33,1610612737,ATL,2020,2020-01-16,201952,Jeff Teague,Guards,-0.009759074998291118,0.00047497890102898247,-0.010234053899320101,Preenche Lacuna,-0.1148118909966178,-0.11634978859640542,Nao,3,Reconstrução,1,Ofensivo
33,1610612737,ATL,2020,2020-01-16,1626203,Treveon Graham,Forwards,0.015010267965164819,0.010614426337607175,0.004395841627557644,Redundante,0.06245985124644948,0.03683607080012884,N/A (nao era lacuna),3,Reconstrução,1,Ofensivo
28,1610612737,ATL,2020,2020-02-05,203473,Dewayne Dedmon,Centers,0.019225908185056196,0.008186752504185504,0.011039155680870692,Redundante,0.1402304609218437,0.12223301682941723,N/A (nao era lacuna),3,Reconstrução,1,Ofensivo
29,1610612737,ATL,2020,2020-02-05,203991,Clint Capela,Centers,0.019225908185056196,0.008186752504185504,0.011039155680870692,Redundante,0.1402304609218437,0.12223301682941723,N/A (nao era lacuna),3,Reconstrução,1,Ofensivo
24,1610612737,ATL,2020,2020-02-06,1627746,Skal Labissiere,Forwards,0.010976927008244817,0.009267634004295509,0.0017092930039493085,Redundante,0.08363909833956736,0.027986649967200038,N/A (nao era lacuna),1,Ofensivo,1,Ofensivo
25,1610612737,ATL,2020,2020-02-06,1628476,Derrick Walton Jr.,Guards,-0.01134395778404927,0.0016111065230566101,-0.01295506430710588,Preenche Lacuna,-0.12695283896376333,-0.13162507765606365,Nao,1,Ofensivo,1,Ofensivo
45,1610612739,CLE,2019,2018-11-28,202692,Alec Burks,Guards,-0.006857922616854378,0.027996362940711925,-0.034854285557566304,Preenche Lacuna,-0.0003272786777941416,-0.02132153459863546,Melhorou,3,Reconstrução,3,Reconstrução
44,1610612739,CLE,2019,2018-12-07,203521,Matthew Dellavedova,Guards,-0.001791044776119401,0.03856374527709422,-0.04035479005321362,Preenche Lacuna,-0.00032912693061041035,-0.01914553660418698,Melhorou,3,Reconstrução,3,Reconstrução
