trade_id,team_id,team_abbreviation,season_end_year,trade_date,player_id,player_name,posicao,RCP_pos_bar_pre_trade,muP_asof,deltaP,preenche_lacuna,RCP_pos_bar_post_trade,deltaP_post_trade,gap_fechada,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
19,1610612737,ATL,2013,2013-02-21,202719,Jeremy Tyler,Forwards,-0.0005927291886195997,0.004358154000123997,-0.004950883188743597,Preenche Lacuna,0.008433734939759036,-0.0023572981935721608,Melhorou,1,Defensivo,1,Defensivo
21,1610612737,ATL,2013,2013-02-21,2563,Dahntay Jones,Forwards,-0.0005927291886195997,0.004358154000123997,-0.004950883188743597,Preenche Lacuna,0.008433734939759036,-0.0023572981935721608,Melhorou,1,Defensivo,1,Defensivo
24,1610612737,ATL,2014,2014-02-19,1712,Antawn Jamison,Forwards,0.01998491704374057,0.0047321121816437635,0.015252804862096809,Redundante,0.00950661853188929,0.001582494726052144,N/A (nao era lacuna),3,Elite,1,Defensivo
16,1610612737,ATL,2016,2016-02-18,2550,Kirk Hinrich,Guards,0.002757432141318397,0.00615987844042962,-0.0034024462991112236,Preenche Lacuna,0.030891153161895522,0.017358210153509426,Sim,1,Defensivo,3,Elite
37,1610612737,ATL,2017,2017-01-07,2399,Mike Dunleavy,Forwards,0.01158161418747738,0.017563698438218155,-0.005982084250740776,Preenche Lacuna,0.010116694899303594,0.0015075725642857106,Sim,1,Defensivo,0,Ofensivo
37,1610612737,ATL,2017,2017-01-07,2590,Mo Williams,Guards,0.00886717336228737,0.005352515921958898,0.0035146574403284716,Redundante,0.008375682288725768,-0.001028742723427161,N/A (nao era lacuna),1,Defensivo,0,Ofensivo
30,1610612737,ATL,2017,2017-02-22,101141,Ersan Ilyasova,Forwards,0.005595238095238096,0.008553016691870679,-0.002957778596632583,Preenche Lacuna,,,Sem dado pos-troca,0,Ofensivo,0,Ofensivo
88,1610612737,ATL,2018,2018-02-08,1627855,Okaro White,Forwards,0.008583534224559866,0.01018195016531534,-0.0015984159407554741,Preenche Lacuna,,,Sem dado pos-troca,2,Reconstrução,2,Reconstrução
19,1610612737,ATL,2019,2019-02-07,202714,Shelvin Mack,Guards,-0.012472440673981415,0.023834054632124888,-0.0363064953061063,Preenche Lacuna,-0.058611122255930986,-0.06366018143480248,Nao,2,Reconstrução,0,Ofensivo
28,1610612737,ATL,2019,2019-02-07,1628444,Jabari Bird,Guards,-0.012472440673981415,0.023834054632124888,-0.0363064953061063,Preenche Lacuna,-0.058611122255930986,-0.06366018143480248,Nao,2,Reconstrução,0,Ofensivo
33,1610612737,ATL,2020,2020-01-16,201952,Jeff Teague,Guards,-0.009759074998291118,0.00047497890102898247,-0.010234053899320101,Preenche Lacuna,-0.1148118909966178,-0.11634978859640542,Nao,2,Reconstrução,0,Ofensivo
33,1610612737,ATL,2020,2020-01-16,1626203,Treveon Graham,Forwards,0.015010267965164819,0.010614426337607175,0.004395841627557644,Redundante,0.06245985124644948,0.03683607080012884,N/A (nao era lacuna),2,Reconstrução,0,Ofensivo
28,1610612737,ATL,2020,2020-02-05,203473,Dewayne Dedmon,Centers,0.019225908185056196,0.008186752504185504,0.011039155680870692,Redundante,0.1402304609218437,0.12223301682941723,N/A (nao era lacuna),2,Reconstrução,0,Ofensivo
29,1610612737,ATL,2020,2020-02-05,203991,Clint Capela,Centers,0.019225908185056196,0.008186752504185504,0.011039155680870692,Redundante,0.1402304609218437,0.12223301682941723,N/A (nao era lacuna),2,Reconstrução,0,Ofensivo
24,1610612737,ATL,2020,2020-02-06,1627746,Skal Labissiere,Forwards,0.010976927008244817,0.009267634004295509,0.0017092930039493085,Redundante,0.08363909833956736,0.027986649967200038,N/A (nao era lacuna),2,Reconstrução,0,Ofensivo
25,1610612737,ATL,2020,2020-02-06,1628476,Derrick Walton Jr.,Guards,-0.01134395778404927,0.0016111065230566101,-0.01295506430710588,Preenche Lacuna,-0.12695283896376333,-0.13162507765606365,Nao,2,Reconstrução,0,Ofensivo
33,1610612737,ATL,2022,2022-01-13,1628995,Kevin Knox,Forwards,0.012658227848101267,0.011513883416042304,0.0011443444320589635,Redundante,0.0062761506276150635,-0.0040445334984332,N/A (nao era lacuna),1,Defensivo,1,Defensivo
18,1610612737,ATL,2023,2023-02-09,1628981,Bruno Fernando,Centers,0.0049438609199565385,0.004294915566791056,0.0006489453531654827,Redundante,0.012970311581422691,0.0044695897495674874,N/A (nao era lacuna),0,Ofensivo,0,Ofensivo
18,1610612737,ATL,2023,2023-02-09,1629726,Garrison Mathews,Guards,0.005496197030061573,0.00593329390702691,-0.0004370968769653368,Preenche Lacuna,0.013227513227513229,0.0018896545351513704,Sim,0,Ofensivo,0,Ofensivo
19,1610612737,ATL,2023,2023-02-09,1630180,Saddiq Bey,Forwards,0.007741760231800073,0.00787367852485575,-0.00013191829305567605,Preenche Lacuna,0.010839212228101117,-0.006800217530289808,Nao,0,Ofensivo,0,Ofensivo
19,1610612737,ATL,2025,2025-02-06,1629611,Terance Mann,Guards,0.002385569612460369,0.007431980635328803,-0.0050464110228684335,Preenche Lacuna,0.006249095906263562,-0.005699296037756199,Nao,0,Ofensivo,0,Ofensivo
20,1610612737,ATL,2025,2025-02-06,1627747,Caris LeVert,Guards,0.002385569612460369,0.007431980635328803,-0.0050464110228684335,Preenche Lacuna,0.006249095906263562,-0.005699296037756199,Nao,0,Ofensivo,0,Ofensivo
20,1610612737,ATL,2025,2025-02-06,1627777,Georges Niang,Forwards,0.010096346230800014,0.007991086840182368,0.002105259390617646,Redundante,0.01845797772313033,0.005509452129158474,N/A (nao era lacuna),0,Ofensivo,0,Ofensivo
32,1610612738,BOS,2014,2014-01-07,201573,Jerryd Bayless,Guards,0.024458204334365324,0.01929412926954087,0.0051640750648244554,Redundante,0.0389030612244898,0.026028768290578038,N/A (nao era lacuna),2,Reconstrução,2,Reconstrução
32,1610612738,BOS,2014,2014-01-07,101155,Ryan Gomes,Forwards,0.00495356037151703,0.008769533492072275,-0.003815973120555245,Preenche Lacuna,-0.018441751700680274,-0.026232795458529114,Nao,2,Reconstrução,2,Reconstrução
31,1610612738,BOS,2014,2014-01-15,201202,Joel Anthony,Centers,,0.0010571360149438532,,Redundante,0.0005184417123389127,0.0007197149772792385,N/A (nao era lacuna),2,Reconstrução,2,Reconstrução
34,1610612738,BOS,2015,2015-01-12,2419,Tayshaun Prince,Forwards,-0.03002070393374742,0.011213019010237099,-0.041233722943984516,Preenche Lacuna,0.01463642740238485,0.008376442450463324,Sim,0,Ofensivo,0,Ofensivo
34,1610612738,BOS,2015,2015-01-12,203085,Austin Rivers,Guards,0.09068322981366461,0.015778289514516056,0.07490494029914856,Redundante,-0.0007481879822305352,-0.011448685594139984,N/A (nao era lacuna),0,Ofensivo,0,Ofensivo
33,1610612738,BOS,2015,2015-01-13,101126,Nate Robinson,Guards,0.11029411764705886,0.016357176446423063,0.0939369412006358,Redundante,-0.0025422849434471313,-0.015002321497271041,N/A (nao era lacuna),0,Ofensivo,0,Ofensivo
32,1610612738,BOS,2015,2015-01-15,101183,Shavlik Randolph,Forwards,-0.03687585890975723,0.01131619392472591,-0.04819205283448314,Preenche Lacuna,0.015172413793103447,0.009399447483924723,Sim,0,Ofensivo,0,Ofensivo
32,1610612738,BOS,2015,2015-01-15,201604,Chris Douglas-Roberts,Guards,0.09482363719651858,0.01390834050848347,0.08091529668803511,Redundante,-0.0020434227330779053,-0.014232254820017417,N/A (nao era lacuna),0,Ofensivo,0,Ofensivo
21,1610612738,BOS,2015,2015-02-19,202738,Isaiah Thomas,Guards,0.07636738906088754,0.01141861394242564,0.0649487751184619,Redundante,-0.0007484469725319951,-0.016471689273733794,N/A (nao era lacuna),0,Ofensivo,0,Ofensivo
23,1610612738,BOS,2015,2015-02-19,201973,Jonas Jerebko,Forwards,-0.02923976608187136,0.008234618931003725,-0.03747438501287509,Preenche Lacuna,0.021555272808921482,0.011444497631390925,Sim,0,Ofensivo,0,Ofensivo
32,1610612738,BOS,2022,2022-01-19,1629626,Bol Bol,Forwards,0.010124610591900311,0.010547337061482323,-0.00042272646958201217,Preenche Lacuna,0.009380905758327831,-0.0020367477975067813,Nao,0,Ofensivo,3,Elite
32,1610612738,BOS,2022,2022-01-19,1628408,P.J. Dozier,Guards,0.0037642782969885768,0.005741651610645639,-0.001977373313657062,Preenche Lacuna,0.008697830096313669,0.001050616145540223,Sim,0,Ofensivo,3,Elite
18,1610612738,BOS,2022,2022-02-10,1628464,Daniel Theis,Centers,0.005419031517932617,0.005231101299159905,0.00018793021877271197,Redundante,0.01587656529516995,0.004790048147840474,N/A (nao era lacuna),0,Ofensivo,3,Elite
22,1610612738,BOS,2022,2022-02-10,1628401,Derrick White,Guards,0.003562371694239826,0.004185131673950914,-0.0006227599797110879,Preenche Lacuna,0.008542039355992846,-0.0021685547636696393,Nao,0,Ofensivo,3,Elite
22,1610612738,BOS,2023,2023-02-09,203488,Mike Muscala,Centers,0.0034036641486498223,0.004294915566791056,-0.0008912514181412335,Preenche Lacuna,0.009040005397018148,0.000539283565162944,Sim,3,Elite,3,Elite
