trade_ids,team_id,team_abbreviation,season_end_year,trade_date,n_players_acquired,trade_classification,min_deltaP_acquired,games_pre,games_post,WPA_time_pre,WPA_time_post,WPA_rate_pre,WPA_rate_post,delta_WPA_time,conference,conf_rank_pre_trade,win_pct_pre_trade,objetivo_sazonal,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
"19,28",1610612737,ATL,2019,2019-02-07,2,Preenche Lacuna,-0.0363064953061063,53,29,-6.5809999999999995,-2.2346000000000004,-0.1241698113207547,-0.07705517241379312,0.04711463890696159,East,12,0.33962264150943394,Tanking,1,Ofensivo,1,Ofensivo
33,1610612737,ATL,2020,2020-01-16,2,Preenche Lacuna,-0.010234053899320101,41,26,-11.632200000000001,-1.9878,-0.2837121951219512,-0.07645384615384615,0.20725834896810508,East,15,0.21951219512195122,Tanking,3,Reconstrução,1,Ofensivo
"28,29",1610612737,ATL,2020,2020-02-05,2,Redundante,0.011039155680870692,51,16,-12.372499999999999,-1.2475,-0.24259803921568626,-0.07796875,0.16462928921568626,East,14,0.2549019607843137,Tanking,3,Reconstrução,1,Ofensivo
"24,25",1610612737,ATL,2020,2020-02-06,2,Preenche Lacuna,-0.01295506430710588,52,15,-11.9357,-1.6843000000000001,-0.22953269230769233,-0.11228666666666667,0.11724602564102565,East,14,0.2692307692307692,Tanking,1,Ofensivo,1,Ofensivo
45,1610612739,CLE,2019,2018-11-28,1,Preenche Lacuna,-0.034854285557566304,19,63,-3.7567,-13.7255,-0.19772105263157894,-0.21786507936507937,-0.020144026733500436,East,15,0.21052631578947367,Tanking,3,Reconstrução,3,Reconstrução
44,1610612739,CLE,2019,2018-12-07,2,Preenche Lacuna,-0.04035479005321362,24,58,-5.0249999999999995,-12.4572,-0.20937499999999998,-0.21477931034482758,-0.005404310344827606,East,13,0.20833333333333334,Tanking,3,Reconstrução,3,Reconstrução
37,1610612739,CLE,2019,2019-02-04,2,Preenche Lacuna,-0.017335206523400593,53,29,-12.9906,-4.491599999999999,-0.2451056603773585,-0.15488275862068962,0.09022290175666889,East,14,0.20754716981132076,Tanking,3,Reconstrução,3,Reconstrução
26,1610612739,CLE,2019,2019-02-07,2,Preenche Lacuna,-0.022759042283438585,54,28,-13.136800000000001,-4.345400000000001,-0.2432740740740741,-0.15519285714285716,0.08808121693121693,East,14,0.2037037037037037,Tanking,3,Reconstrução,3,Reconstrução
34,1610612739,CLE,2020,2019-12-23,1,Redundante,0.004304374079712081,29,36,-5.6715,-7.5031,-0.19556896551724137,-0.20841944444444443,-0.012850478927203063,East,13,0.27586206896551724,Tanking,3,Reconstrução,3,Reconstrução
21,1610612739,CLE,2020,2020-02-06,1,Redundante,0.004794286601247916,52,13,-11.9182,-1.2563999999999997,-0.22919615384615386,-0.09664615384615383,0.13255000000000003,East,15,0.25,Tanking,3,Reconstrução,3,Reconstrução
26,1610612739,CLE,2021,2021-03-25,1,Redundante,0.0169156608405077,44,28,-5.056004575,-8.051,-0.11490919488636364,-0.2875357142857143,-0.17262651939935064,East,12,0.38636363636363635,Tanking,3,Reconstrução,3,Reconstrução
"25,30",1610612740,NOH,2019,2019-02-07,3,Redundante,0.008327469899136797,55,27,-5.7612000000000005,-4.382300000000001,-0.10474909090909092,-0.16230740740740743,-0.05755831649831651,West,13,0.43636363636363634,Tanking,1,Ofensivo,1,Ofensivo
17,1610612740,NOH,2021,2021-03-25,2,Preenche Lacuna,-0.059699297800910996,43,29,-2.9114999999999998,-2.6887999999999996,-0.0677093023255814,-0.09271724137931034,-0.025007939053728945,West,11,0.4418604651162791,Tanking,0,Defensivo,1,Ofensivo
42,1610612741,CHI,2019,2019-01-03,2,Preenche Lacuna,-0.038923111099866896,38,44,-11.689499085369999,-7.9261,-0.307618396983421,-0.18013863636363636,0.12747976061978467,East,13,0.2631578947368421,Tanking,3,Reconstrução,3,Reconstrução
41,1610612741,CHI,2019,2019-01-07,1,Preenche Lacuna,-0.0333024395468802,40,42,-12.46889908537,-7.146700000000001,-0.31172247713425,-0.17015952380952384,0.14156295332472615,East,14,0.25,Tanking,3,Reconstrução,3,Reconstrução
40,1610612741,CHI,2019,2019-01-22,1,Redundante,0.0005415206819000141,47,35,-14.309299085370002,-5.306299999999999,-0.30445317202914896,-0.1516085714285714,0.15284460060057756,East,13,0.23404255319148937,Tanking,3,Reconstrução,1,Ofensivo
38,1610612741,CHI,2019,2019-02-01,1,Preenche Lacuna,-0.020397465150829266,52,30,-15.75019908537,-3.8654,-0.30288844394942305,-0.12884666666666666,0.17404177728275638,East,13,0.23076923076923078,Tanking,3,Reconstrução,1,Ofensivo
35,1610612741,CHI,2019,2019-02-06,1,Redundante,0.003424254948547102,53,29,-16.114699085370003,-3.5008999999999997,-0.30405092613905665,-0.12072068965517241,0.18333023648388425,East,13,0.22641509433962265,Tanking,3,Reconstrução,1,Ofensivo
"14,15",1610612741,CHI,2021,2021-03-25,5,Preenche Lacuna,-0.0421320771329598,43,29,-2.8503999999999996,-1.8526999999999996,-0.06628837209302324,-0.06388620689655171,0.0024021651964715313,East,10,0.4418604651162791,Intermediario,0,Defensivo,0,Defensivo
39,1610612742,DAL,2019,2019-01-31,4,Preenche Lacuna,-0.08104132294177173,50,32,-1.4487000000000005,-4.656099999999999,-0.02897400000000001,-0.14550312499999996,-0.11652912499999994,West,12,0.46,Tanking,2,Elite,3,Reconstrução
31,1610612742,DAL,2020,2020-01-24,1,Preenche Lacuna,-0.03219961839575304,44,23,5.816508075300001,0.8497,0.1321933653477273,0.036943478260869564,-0.09524988708685773,West,5,0.6363636363636364,Contender,2,Elite,1,Ofensivo
30,1610612742,DAL,2020,2020-01-25,1,Preenche Lacuna,-0.03466778459880202,44,23,5.816508075300001,0.8497,0.1321933653477273,0.036943478260869564,-0.09524988708685773,West,5,0.6363636363636364,Contender,2,Elite,1,Ofensivo
29,1610612743,DEN,2020,2020-02-05,4,Preenche Lacuna,-0.0007581561257604778,51,14,10.8504,-0.12130000000000007,0.2127529411764706,-0.00866428571428572,-0.2214172268907563,West,3,0.6862745098039216,Contender,0,Defensivo,0,Defensivo
20,1610612743,DEN,2020,2020-02-06,1,Redundante,0.00974458477848656,52,13,11.3762,-0.6471,0.21877307692307693,-0.04977692307692308,-0.26855,West,3,0.6923076923076923,Contender,0,Defensivo,0,Defensivo
"25,26",1610612743,DEN,2021,2021-03-25,3,Preenche Lacuna,-0.017147357715857372,44,28,4.3279086263,7.469002604899999,0.09836155968863637,0.2667500930321428,0.16838853334350645,West,5,0.5909090909090909,Contender,0,Defensivo,2,Elite
22,1610612744,GSW,2020,2020-02-06,1,Redundante,9.906475086924986e-05,52,13,-11.6265,-3.5826,-0.22358653846153848,-0.2755846153846154,-0.0519980769230769,West,15,0.23076923076923078,Tanking,3,Reconstrução,3,Reconstrução
26,1610612745,HOU,2019,2019-02-07,3,Redundante,0.0179947786236584,54,28,10.2204,7.818900000000001,0.18926666666666667,0.2792464285714286,0.08997976190476195,West,5,0.5925925925925926,Contender,2,Elite,0,Defensivo
29,1610612745,HOU,2020,2020-02-05,2,Preenche Lacuna,-0.024796427621323308,50,14,9.668099999999999,0.7911000000000001,0.19336199999999998,0.05650714285714287,-0.1368548571428571,West,5,0.64,Contender,2,Elite,2,Elite
