trade_ids,team_id,team_abbreviation,season_end_year,trade_date,n_players_acquired,trade_classification,min_deltaP_acquired,games_pre,games_post,WPA_time_pre,WPA_time_post,WPA_rate_pre,WPA_rate_post,delta_WPA_time,conference,conf_rank_pre_trade,win_pct_pre_trade,objetivo_sazonal,cluster,cluster_name,cluster_post_trade,cluster_name_post_trade
"19,21",1610612737,ATL,2013,2013-02-21,2,Preenche Lacuna,-0.004950883188743597,52,30,2.92,3.32,0.05615384615384615,0.11066666666666666,0.05451282051282051,East,6,0.5576923076923077,Contender,1,Defensivo,1,Defensivo
24,1610612737,ATL,2014,2014-02-19,1,Redundante,0.015252804862096809,52,30,3.57,2.7699999999999996,0.06865384615384615,0.09233333333333332,0.023679487179487174,East,5,0.4807692307692308,Contender,3,Elite,1,Defensivo
16,1610612737,ATL,2016,2016-02-18,1,Preenche Lacuna,-0.0034024462991112236,55,27,6.33,2.29,0.11509090909090909,0.08481481481481482,-0.030276094276094276,East,4,0.5636363636363636,Contender,1,Defensivo,3,Elite
37,1610612737,ATL,2017,2017-01-07,2,Preenche Lacuna,-0.005982084250740776,36,46,3.0699999999999994,4.619999999999999,0.08527777777777776,0.10043478260869564,0.015157004830917878,East,4,0.5555555555555556,Contender,1,Defensivo,0,Ofensivo
30,1610612737,ATL,2017,2017-02-22,1,Preenche Lacuna,-0.002957778596632583,56,26,7.500000000000001,0.18999999999999984,0.13392857142857145,0.0073076923076923015,-0.12662087912087916,East,5,0.5714285714285714,Contender,0,Ofensivo,0,Ofensivo
88,1610612737,ATL,2018,2018-02-08,1,Preenche Lacuna,-0.0015984159407554741,54,28,5.0699999999999985,0.77,0.09388888888888886,0.0275,-0.06638888888888886,East,15,0.3148148148148148,Tanking,2,Reconstrução,2,Reconstrução
"19,28",1610612737,ATL,2019,2019-02-07,2,Preenche Lacuna,-0.0363064953061063,53,29,-6.5809999999999995,-2.2346000000000004,-0.1241698113207547,-0.07705517241379312,0.04711463890696159,East,12,0.33962264150943394,Tanking,2,Reconstrução,0,Ofensivo
33,1610612737,ATL,2020,2020-01-16,2,Preenche Lacuna,-0.010234053899320101,41,26,-11.632200000000001,-1.9878,-0.2837121951219512,-0.07645384615384615,0.20725834896810508,East,15,0.21951219512195122,Tanking,2,Reconstrução,0,Ofensivo
"28,29",1610612737,ATL,2020,2020-02-05,2,Redundante,0.011039155680870692,51,16,-12.372499999999999,-1.2475,-0.24259803921568626,-0.07796875,0.16462928921568626,East,14,0.2549019607843137,Tanking,2,Reconstrução,0,Ofensivo
"24,25",1610612737,ATL,2020,2020-02-06,2,Preenche Lacuna,-0.01295506430710588,52,15,-11.9357,-1.6843000000000001,-0.22953269230769233,-0.11228666666666667,0.11724602564102565,East,14,0.2692307692307692,Tanking,2,Reconstrução,0,Ofensivo
